REPORT_NUMBER,NAME,DATETIME_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,CLASS_TXT,LOSS,RECOV,SPUNIT,SPUNIT_TXT,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,NOMINAL_PIPE_SIZE_IN,PIPE_DIAMETER,INSTALLATION_YEAR,AGE_OF_FACILITY,RELEASE_TYPE,LEAK_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,DETECTED,WATER_CONTAM_IND,CAUSE,,,MPVST,SURNO,TELRN,TELDT,PPPRP,EMRPRP,ENVPRP,OPCPRP,OPCPRPO,PRODPRP,OPPRP,OOPPRP,OOPPRPO,SPILLED,CLASS,GEN_CAUSE,LINE_SEG,IFED,INTER,OFFAREA,BNUMB,OFFST,OCS,OPPROP,PIPEROW,HCA,HCADESC,SYSPRT,SYSPRT_TXT,SYSPRTO,FAIL_OC,FAIL_OCO,INC_PRS,MOP,LRTYPE,LRTYPEO,LEAK,PUNC_DIAM,RUPTURE,RUPTURE_TXT,RUPLN,PROPLN,UBLKVM,UBLKVA,UBLKVR,UBLKVC,DBLKVM,DBLKVA,DBLKVR,DBLKVC,SEGISO,VLVDIST,SEGCONF,INLINE,INLINE_TXT,DRHRMF,DRHRMFY,DRLRMF,DRLRMFY,DRUT,DRUTY,DRGEO,DRGEOY,DRCAL,DRCALY,DRCRK,DRCRKY,DRHARD,DRHARDY,DROTH,DROTHY,WALLTHK,SPEC,SMYS,SEAM,VALVE,MANU,MANYR,LOCLK,EFAT,NFAT,GPFAT,EINJ,NINJ,GPINJ,SHUTDAY,SHUTHR,SHUTMIN,EVAC,EVACNO,EVAC_REASON,EVAC_REASON_TEXT,STHH,STMN,IMPACT,REMEDIAL,RSURFACE,RGROUND,RSOIL,RVEG,RWILD,AMT_IN_WATER,OCEAN,SURFACE,GROUNDW,DRINK,DRINKSRC,DRINKSRC_TXT,COMP_BASED,DETECTED,DETECTEDO,DURLEAK_DAY,DURLEAK_HR,CAUSE,CAUSE_TXT,PIPE_COAT,PIPE_COAT_TXT,VIS_EXAM,VIS_EXAM_TXT,VIS_EXAMO,COR_CAUSE,COR_CAUSE_TXT,COR_CAUSEO,PROT,CPYR,PREV_DAM,PREV_DAM_YR,PREV_DAM_MO,PREV_DAM_UK,EARTH_MOVE,EARTH_MOVE_TXT,EARTH_MOVEO,FLOODS,FLOODS_TXT,FLOODSO,TEMPER,TEMPER_TXT,TEMPERO,THIRD_PARTY_GRP,THIRD_PARTY_GRP_TXT,THIRD_PARTY_TYPE,THIRD_PARTY_TYPE_TXT,THIRD_PARTY_TYPEO,EXCAV_TYPE,EXCAV_TYPE_TXT,EXCAV_ON,EXCAV_LAST_CONTACT,NOTIF,NOTIF_DATE,NOTIF_RCVD_TXT,MARKED,TEMP_MARK,TEMP_MARK_TXT,PERM_MARK,ACC_MARK,ACC_MARK_TXT,MKD_IN_TIME,FIRE_EXPLO,FIRE_EXPLO_TXT,PIPE_BODY,PIPE_BODY_TXT,PIPE_BODYO,COMPONENT,COMPONENT_TXT,COMPONENTO,JOINT,JOINT_TXT,JOINTO,BUTT,BUTT_TXT,BUTTO,FILLET,FILLET_TXT,FILLETO,PIPE_SEAM,PIPE_SEAM_TXT,PIPE_SEAMO,FAIL_TYPE,FAIL_TYPE_TXT,CONS_DEF,CONS_DEF_TXT,PIPE_DAMAGE,PRS_TEST,TEST_DATE,TEST_MED,TEST_MED_TXT,TEST_MEDO,TEST_TP,TEST_PRS,MALFUNC,MALFUNC_TXT,MALFUNCO,THREADS,THREADS_TXT,THREADSO,SEAL,SEAL_TXT,SEALO,IO_TYPE,IO_TYPE_TXT,IO_TYPEO,IO_DRUG,IO_ALCO,MISC,UNKNOWN,UNKNOWN_TXT,PNAME,PTEL,PEMAIL,PFAX,NARRATIVE
20060328,PACIFIC TERMINALS LLC,10/5/2006,33 53'45,118 13'12,DISPLACEMENT OIL,CRUDE OIL,1,1,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,39100,,,,INCORRECT OPERATION,,,EPTC STATION,,813833,10/5/2006,0,7100,0,0,,0,32000,0,,YES,4,7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ANN GOODINE, COMPLIANCE SPECIALIST",5627282851,RAGOODINE@PAALP.COM,5627282350,
20060329,"LOUIS DREYFUS OLEFINS, LLC",10/31/2006,30 DEG 06.77 N,090 DEG 25.525 W,NGL - NATURAL GAS LIQUIDS,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,5,0,2,GALLONS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,,VALVE,10.75,,2005,,OTHER,,115504,NO,A THIRD PARTY,NO,MATERIAL AND/OR WELD FAILURES,,,40.9 MP AT VALVE SITE 5,,816686,10/31/2006,0,0,0,0,,4,0,115500,"EMERGENCY RESPONSE, REPAIR CLAMP INSTALLATION",YES,1,5,"10"" NGL LINE #190",NO,INTRASTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,8,SWING CHECK VALVE,860,1440,4,O-RING LEAK ON SWING CHECK VALVE,,,,,,,YES,NO,NO,NO,YES,NO,NO,NO,42754,42754,YES,2,NO,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.22,5L X-52,2119,ERW,RECONDITIONED SWING CHECK VALVE,TOM WHEATLEY,2005,3,0,0,0,0,0,0,4,5,13,NO,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,YES,6,,4,5,15,COMPONENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,VALVE,,,,,,,,,,,,,,2,MATERIAL DEFECT,4,,NO,YES,11/2/2005,1,WATER,,8,1861,,,,,,,2,O-RING,,,,,,,,1,INVESTIGATION COMPLETE,"RANDY ZERINGUE, PIPELINE TECHNICIAN",2259069294,RANDY.ZERINGUE@LDHENERGY.COM,2259069090,"10-31-06 AT 0645 THIRD PARTY (PUBLIC) NOTIFIED THE LOUIS DREYFUS CONTROL ROOM TO REPORT SMELL AT VALVE SITE 5.    10-31-06 AT 0718 LOUIS DREYFUS REPRESENTATIVE ARRIVED ON SCENE ALONG WITH ST. JOHN THE BAPTIST FIRE DEPARTMENT AND VERIFIED SMALL LEAK ON CHECK VALVE SWING CHECK ARM AT VALVE SITE 5.  LEAK WAS MONITORED WITH HYDROCARBON DETECTOR, HYDROCARBONS WERE CONFIRMED TO FENCED IN AREA AT VALVE SITE 5. FIRE DEPARTMENT LEFT SCENE AT 0740    10-31-06 AT 0745 LOUIS DREYFUS CONTROL ROOM STARTED BRINGING PRESSURE DOWN ON LINE.  10-31-06 AT 0915 PIPELINE WAS SHUTDOWN AND VALVES UPSTREAM AND DOWNSTREAM WERE CLOSED.    10-31-06 AT 1015 CONTRACTED HAZMAT TEAM ARRIVE ON SCENCE AND DETERMINED LESS THAN 5 GALLONS OF PRODUCT WAS RELEASED.    10-31-06 AT 1345 HAZMAT TEAM RELEASED FROM SITE. CONTINUOUS MONITORING WAS CONDUCTED WITH HYDROCARBON DETECTORS EVERY 1/2 HOUR UNTIL REPAIR COULD BE MADE.  10-31-06 AT 1635 TELEPHONIC CALL WAS MADE TO OFFICE OF PIPELINE SAFETY 7000-1 WITH REPORT # 816686    10-31-06 ESTABLISHED 24 HOUR MONITORING OF SITUATION UNTIL REPAIRS CAN BE MADE.    11-01-06 FAXED IN ""SAFETY RELATED CONDITION REPORT"" TO LOUISIANA DNR AND DOT OFFICE OF PIPELINE SAFETY.    11-04-06 AT 1450 INSTALLED CLAMP ON CHECK VALVE FOR REPAIR  11-04-06 AT 1450 OPENED DOWNSTREAM AND UPSTREAM VALVES AND STARTED UP PIPELINE.  11-05-06 MONITORED VALVE SITE 5 FOR ONE WEEK EVERYDAY AND WILL CONTINUE TO MONITOR ON A WEEKLY SCHEDULE.  11-16-06 COMPLETED WRITTEN 700-1 ""ACCIDENT REPORT"" AND MAILED IN TO OFFICE OF PIPELINE SAFETY.       THE INVESTIGATION RESULTS REPORTED THE CAUSE OF THE ACCIDENT TO BE DUE TO A CHEMICALLY ATTACKED O-RING. ANALYSIS SHOWED THE O-RING IN THE CHECK VALVE TO BEMADE OF BUNA-N MATERIAL AND WAS CHEMICALLY ATTACKED BY THE TRANSPORTED PRODUCT.  VITON O-RING MATERIAL SHOULD HAVE BEEN USSED FOR THIS APPLICATION. SINCE THE INITIAL INCIDENT, AN INTERNAL AUDIT HAS BEEN PERFORMED ON THE LDH ENERGY OLEFINS LLC PIPELINE SYSTEM TO CONFIRM THAT ALL SEALS AND O-RINGS WERE OF VITON MATERIAL."
20060330,EXPLORER PIPELINE COMPANY,10/30/2006,32.55.19,97.06.57,JET FUEL ,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",17,10,1,BARRELS,,NO,NO,NO,NO,NO,ONSHORE,ABOVE GROUND,,VALVE,,,1971,,,,65528,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,INCORRECT OPERATION,,,56.6  12 INCH LINE ,,,,0,0,0,0,,550,0,64978,"LABOR, VAC TRUCK, ROLL OFF, SOIL DISPOSAL ",YES,3,7,GREENVILLE TO GRAPEVINE ,NO,INTERSTATE,,,,NO,YES,NO,YES,HPA AND OPA,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,8,,10,275,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,.500 INCH NEEDLE VALVE,,,3,0,0,0,0,0,0,,,,NO,,,,0,0,NO,NO,NO,NO,NO,NO,NO,,,,,,,,YES,3,,0,2,23,INCORRECT OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,FAILURE TO FOLLOW PROCEDURES,,,,,,,KEVIN BROWN,9184935104,KBROWN@EXPL.COM,9184935148,"ON OCTOBER 30, 2006 STATION PIPING WAS BEING REFILLED WITH JET FUEL AT EXPLORER PIPELINE¿S SOUTHLAKE, TEXAS STATION.  WHILE REFILLING THE PIPING, A QUARTER INCH NEEDLE VALVE WAS OPENED TO BLEED-OFF AIR AND INADVERTENTLY WAS NOT CLOSED ALLOWING A RELEASE OF JET FUEL. THE FREE-PHASE PRODUCT WAS VACUUMED-UP, THE PETROLEUM PRODUCT IMPACTED SOIL WAS EXCAVATED, PLACED IN LINED ROLL-OFF BOXES AND IS AWAITING PROPER DISPOSAL."
20060331,CONOCOPHILLIPS PIPE LINE CO.,11/2/2006,N39 DEG 45.81,W104 DEG 49.62,NGL,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2,0,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,110,,,,EQUIPMENT,,,348.99,,N/A,,0,0,0,0,,110,0,0,,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANDY W. BEGGS,5807677101,RANDY.W.BEGGS@CONOCOPHILLIPS.COM,5807676947,
20060332,CONOCOPHILLIPS PIPE LINE CO.,11/2/2006,,,CRUDE OIL,CRUDE OIL,230,212,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,96,BODY OF PIPE,16,,1980,,,,400000,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,CORROSION,,,,PECAN GROVE RECEIPT MAN.,816836,11/2/2006,0,0,0,0,,4800,35200,360000,EMERGENCY RESPONSE AND CLEANUP,YES,4,1,PECAN GROVE REC/DEL. MAN.,NO,INTERSTATE,,,,NO,YES,NO,YES,CALCASIEU RIVER,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,1,,70,275,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.38,X-42,42000,ERW,GATE VALVES,,,4,0,0,0,0,0,0,2,6,0,NO,,,,1,0,NO,YES,YES,NO,YES,NO,NO,10,YES,YES,,NO,,,NO,3,,0,3,2,"CORROSION, INTERNAL",2,COATED,2,GENERAL CORROSION,,4,MICROBIOLOGICAL,,YES,1980,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TODD L. TULLIO,4058794871,TODD.L.TULLIO@CONOCOPHILLIPS.COM,4058794855,"AT 0600, 11/2/2006, LOCAL OPERATOR NOTICED CRUDE OIL IN THE DRAINAGE DITCH AND CONTACTED SUPERVISOR IMMEDIATELY.  RELEASE WAS FROM THE MANIFOLD AREA THAT WAS CURRENTLY IN OPERATION TRANSFERING TO A BARGE.  OPERATIONS WERE SHUT DOWN UNTIL ACUTAL LEAK LOCATION COULD BE DETERMINED.  LEAK WAS ON A BELOW GROUND 16"" DEADLEG LINE SEGMENT IN THE MANIFOLD AREA.    PIPE SEGMENT WILL BE SENT TO METALLURGIST TO DETERMINE ACTUAL CAUSE OF FAILURE.  INITIAL OBSERVATIONS INDICATE INTERNAL CORROSION. REPORT BACK INDICATES THAT IT WAS MIC."
20060333,ROCKY MOUNTAIN PIPELINE SYSTEM LLC,10/30/2006,N40.10.36,W104.58.304,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1200,0,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,15,BODY OF PIPE,8,,1949,,LEAK,PUNCTURE,180888,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EXCAVATION DAMAGE,,,,,816553,10/30/2006,0,0,80088,0,,100800,0,0,,YES,3,3,WEST PIPELINE,NO,INTERSTATE,,,,NO,NO,YES,NO,,5,"ONSHORE PIPELINE, INCLUDING VALVE SITES",,1,,1100,1440,1,,3,2,,,,,YES,NO,NO,NO,YES,NO,NO,NO,3,3,YES,1,YES,YES,2006,NO,,NO,,NO,,YES,2006,YES,2006,NO,,NO,,0.25,,2434,SEAMLESS,,,1947,4,0,0,0,0,0,0,4,8,0,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,3,,1,,9,THIRD PARTY EXCAVATION DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,3,EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR,12,OTHER,RESIDENTIAL CONSTRUCTION,1,OPEN TRENCH,,,YES,1/1/2000,ONE-CALL SYSTEM,YES,2,STAKES,,,,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TOM MCCORMICK ENVIRONMENTAL & REGULATORY COMPLIANCE MANAGER,3077838336,TMCCORMICK@PAALP.COM,3077898182,PIPELINE HAS BEEN EXPOSED FOR RESIDENTIAL CONSTRUCTION ACTIVITIES.  CONTRACTOR AFTER EXPOSING THE LINE HIT THE LINE CAUSING THE LEAK.  PIPELINE OPERATOR PERSONNEL WERE AT THE SITE AT THE TIME THE LINE WAS HIT AND IMMEDIATELY SHUT THE PIPELINE DOWN AND SECURED THE AREA.  ADDITIONAL EXCAVATION WAS REQUIRED TO CUT OUT AND REPLACE THE DAMAGED SECTION OF THE LINE.   PERMANENT REPAIRS WERE MADE AS SOON AS THE LINE HAD BEEN DRAINED AND PURGED.
20060334,"MAGELLAN PIPELINE COMPANY, L.P.",10/28/2006,38.503357,-94.87058,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",5,5,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,ABOVE GROUND,,OTHER,0.5,,1975,,,,33330,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,0+00,,816400,10/28/2006,0,15000,15000,2000,HAULING DIRT TO LANDFILL,330,1000,0,,YES,3,6,#5-12,NO,INTERSTATE,,,,NO,YES,NO,YES,DRINKING WATER SOURCE,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,14,SENSING LINE,650,1200,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.1,SCHEDULE 40,,,,,1975,3,0,0,0,0,0,0,0,7,24,NO,,,,,,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,3,,,6,21,"THREADS STRIPPED, BROKEN PIPE COUPLING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,OTHER,ELBOW,,,,,,,,,,,,"KENNETH L. LYBARGER, SR. COMPLIANCE COORDINATOR",9185747315,KENNETH.LYBARGER@MAGELLANLP.COM,9185747246,"FATIGUE OF THE THREADS AT AN ELBOW ON A 1/2 INCH DIMETER SENSING LINE PARTIALLY FAILED, ALLOWING PRODUCT TO ESCAPE.  THE LINE WAS REPLACED WITH A NEW ONE-INCH DIAMETER WELDED LINE."
20060335,"KOCH PIPELINE COMPANY, LP",10/31/2006,27.83122,-97.51899,CRUDE OIL,CRUDE OIL,10,2,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,36,BODY OF PIPE,12,,1926,,,,13597,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",YES,CORROSION,,,N/A,VIOLA STATION(SEE LAT-LO),816655,10/31/2006,0,1639,11478,0,,480,0,0,,YES,4,1,VIOLA STATION PIPING,NO,INTRASTATE,,,,NO,YES,NO,YES,"OTHER POPULATED AREA-CORPUS,TX",3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,1,,12,0,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,,,,,,,,4,0,0,0,0,0,0,0,8,0,NO,,,,8,0,NO,YES,NO,YES,NO,NO,NO,2,NO,NO,YES,NO,,,NO,3,,1,0,2,"CORROSION, INTERNAL",2,COATED,1,LOCALIZED PITTING,,4,MICROBIOLOGICAL,,YES,1940,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KARLENE MITCHELL,3168284121,KARLENE.MITCHELL@KOCHPIPELINE.COM,3165296377,"LINE WAS INACTIVE.  WHEN INACTIVATED, THE LINE WAS PURGED YET THE VALVES LEAKED AND CAUSED PRODUCT TO REFILL THE LINE.  LEAK WAS DUE TO INTERNAL CORROSION."
20060336,BP PIPELINES NA,11/6/2006,35.9459,-96.7475,CRUDE OIL,CRUDE OIL,40,39,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,OPEN DITCH,,REPAIR SLEEVE,30,,2006,,,,9000,NO,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,EQUIPMENT,,,,CUSHING TERMINAL,817304,11/6/2006,0,0,0,0,,2000,6000,1000,EMERGENCY RESPONSE,YES,4,6,CUSHING TERMINAL,NO,INTERSTATE,,,,NO,YES,NO,NO,,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,10,,95,275,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.31,GRADE B,42000,,,,,1,0,0,0,0,0,0,0,3,0,NO,,,,1,0,NO,NO,NO,NO,NO,NO,NO,,,,,,,,NO,3,,,3,22,RUPTURED OR LEAKING SEAL/PUMP PACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,GASKET,,,,,,,,,,MICHAEL SANDERS,6308367744,SANDM9@BP.COM,6308363582,CLAMP USED AS A TEMPORARY REPAIR ON A MANIFOLD FOR A PREVIOUS SPILL FAILED.  RELEASE CONTAINED WITHIN OPEN EXCAVATION.
20060337,"KINDER MORGAN ENERGY PARTNERS, L.P.",11/3/2006,41 - 33.929',93 - 31.743',PROPANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,3,0,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,3060,,,,EQUIPMENT,,,,,,,0,0,0,0,,1139,700,1221,CO. LABOR,YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAIME HERNANDEZ,7133699443,JAIME_HERNANDEZ@KINDERMORGAN.COM,7134952767,
20060338,COLONIAL PIPELINE COMPANY,9/20/2006,29.5831,-94.0323,FUEL OIL,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",1,1,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,48000,,,,INCORRECT OPERATION,,,HEBERT PUMP STATION,,NONE,,0,0,0,0,,90,0,47910,EXCAVATION AND SOIL REMEDIATION,YES,3,7,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. MAC TAYLOR,6787622872,ATAYLOR@COLPIPE.COM,6787622464,
20060339,"PLAINS PIPELINE, L.P.",11/5/2006,35.13765 N,97.40110 W,CRUDE OIL,CRUDE OIL,25,24,1,BARRELS,,NO,NO,YES,NO,NO,ONSHORE,UNDER GROUND,36,VALVE,4.5,,1948,,,,34021,YES,"LOCAL OPERATING PERSONNEL, PROCEDURES OR EQUIPMENT",NO,INCORRECT OPERATION,,,NOBLE INJECTION STATION,,817219,11/5/2006,0,14351,9653,0,,60,4550,5407,REPAIR,YES,4,7,CHEROKEE PIPELINE,NO,INTRASTATE,,,,NO,NO,YES,YES,OTHER POPULATED AREA,3,"PUMP/METER STATION; TERMINAL/TANK FARM PIPING AND EQUIPMENT, INCLUDING SUMPS",,8,,1000,720,,,,,,,,,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,0.25,X42,42000,ERW,GATE,,1948,4,0,0,0,0,0,0,0,21,0,NO,,,,,,NO,YES,NO,NO,YES,NO,NO,,,,,,,,NO,3,,0,1,23,INCORRECT OPERATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,OTHER,COMMUNICATION ERROR - SEE BELOW,0,0,,,,"GILBERT C. SCHUTZA, P.E.",7136464433,CE.GCSCHUTZA@PAALP.COM,7136464310,"A 4"" PIPELINE FROM AN INJECTION PUMP WAS PRESSURED UP AGAINST A 4"" CLOSED VALVE, THAT WAS CONNECTED TO THE 12"" CHEROKEE PIPELINE, CAUSING THE VALVE TO FAIL AND THE RELEASE OF CRUDE OIL.  THE OVERPRESSURIZATION WAS A RESULT OF A COMMUNICATION PROBLEM BETWEEN THE STATION OPERATORS AND CONSTRUCTION STAFF."
20060341,CONOCOPHILLIPS PIPE LINE CO.,11/14/2006,36 49'46.16 N,"97 18'42.22""W",PROPANE,HVLS/OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,10,0,2,GALLONS,,NO,NO,,,,ONSHORE,,,,,,,,,,260,,,,EQUIPMENT,,,912+11,,N/A,,0,0,0,0,,10,0,250,"PARTS, NEW PACKING",YES,1,6,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RANDY W. BEGGS,5807677101,RANDY.W.BEGGS@CONOCOPHILLIPS.COM,5807676947,
20060342,"MAGELLAN PIPELINE COMPANY, L.P.",11/27/2006,39.75805,-101.81398,GASOLINE,"GASOLINE, DIESEL, FUEL OIL OR OTHER PETROLEUM PRODUCT WHICH IS A LIQUID AT AMBIENT CONDITIONS",2,2,1,BARRELS,,NO,NO,,,,ONSHORE,,,,,,,,,,625,,,,OTHER OUTSIDE FORCE DAMAGE,,,478,N/A,819192,11/27/2006,0,0,450,0,,175,0,0,,YES,3,4,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KENNETH L. LYBARGER,9185747315,KEN.LYBARGER@MAGELLANLP.COM,9185747246,
