,REPORT_NUMBER,NAME,DATE_OF_INCIDENT,LOCATION_LATITUDE,LOCATION_LONGITUDE,COMMODITY_RELEASED_TYPE,TOTAL_BBLS_RELEASED,FATALITY_IND,INJURY_IND,SHUTDOWN_DUE_ACCIDENT_IND,IGNITE_IND,EXPLODE_IND,ON_OFF_SHORE,INCIDENT_AREA_TYPE,DEPTH_OF_COVER,ITEM_INVOLVED,PIPE_DIAMETER,INSTALLATION_YEAR,RELEASE_TYPE,TOTAL_EST_COST,ACCIDENT_PRESSURE,SCADA_DETECTION_IND,CPM_DETECTION_IND,WATER_CONTAM_IND,CAUSE,CAUSE_DETAILS,YEAR_OF_INCIDENT,AGE_OF_FACILITY
284,20210046,IMTT-BAYONNE,2021-01-29,40.64944,-74.14049,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.23,NO,NO,NO,YES,NO,ONSHORE,ABOVEGROUND,,PUMP,,1952.0,LEAK,36107.0,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,69.0
285,20210048,MARATHON PIPE LINE LLC,2021-01-27,37.86345,-85.71671,CRUDE OIL,8.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,96,PIPE,20.0,1973.0,LEAK,74896.0,PRESSURE DID NOT EXCEED MOP,YES,YES,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,48.0
286,20210041,ENTERPRISE PRODUCTS OPERATING LLC,2021-01-26,29.91285,-94.008,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,146.0,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,SUMP/SEPARATOR,,2009.0,OVERFILL OR OVERFLOW,108732.0,PRESSURE DID NOT EXCEED MOP,YES,,NO,INCORRECT OPERATION,"TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW",2021,12.0
287,20210036,"PAR HAWAII REFINING, LLC",2021-01-26,21.391835,-157.973109,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,12.0,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,,LEAK,27420.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2021,
288,20210044,"MAGELLAN PIPELINE COMPANY, LP",2021-01-26,29.727059,-95.199526,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.36,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,48,VALVE,,,LEAK,22000.0,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,
289,20210040,SUNOCO PIPELINE L.P.,2021-01-25,32.4823,-94.83008,CRUDE OIL,1.0,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,SUMP/SEPARATOR,,1931.0,OVERFILL OR OVERFLOW,11128.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2021,90.0
290,20210037,PHILLIPS 66 PIPELINE LLC,2021-01-22,35.8072993,-101.6419247,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.45,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,,LEAK,6010.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,
291,20210038,HARVEST MIDSTREAM COMPANY,2021-01-22,28.84714,-98.08643,CRUDE OIL,0.24,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,,LEAK,20194.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,
292,20210050,CITGO REFINING & CHEMICAL CO. L.P.,2021-01-20,27.82173,-97.43572,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,NO,NO,NO,NO,NO,ONSHORE,TRANSITION AREA,,PIPE,24.0,1959.0,LEAK,150000.0,PRESSURE DID NOT EXCEED MOP,,,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,62.0
293,20210049,"SHELL PIPELINE CO., L.P.",2021-01-19,33.839358,-118.236831,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.1,NO,NO,YES,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,1927.0,LEAK,472870.0,PRESSURE DID NOT EXCEED MOP,NO,YES,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,94.0
294,20210031,ENTERPRISE CRUDE PIPELINE LLC,2021-01-18,31.6561,-102.248111,CRUDE OIL,3.5,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,METER/PROVER,,,OVERFILL OR OVERFLOW,4800.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2021,
295,20210026,"KINDER MORGAN LIQUID TERMINALS, LLC",2021-01-18,29.72743,-95.200218,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.5,NO,NO,YES,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,AUXILIARY PIPING (E.G. DRAIN LINES),,2009.0,LEAK,39050.0,PRESSURE DID NOT EXCEED MOP,YES,,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,12.0
296,20210029,"SAN MATEO BLACK RIVER OIL PIPELINE, LLC",2021-01-17,32.426607,-104.083216,CRUDE OIL,1.0,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2020.0,LEAK,11015.0,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2021,1.0
297,20210032,ENTERPRISE PRODUCTS OPERATING LLC,2021-01-16,33.26319,-92.62774,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,15.0,NO,NO,YES,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,PUMP,,1957.0,LEAK,166500.0,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,64.0
298,20210030,ENTERPRISE PRODUCTS OPERATING LLC,2021-01-15,28.587479,-96.916622,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1325.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,36,PIPE,8.0,1950.0,LEAK,281300.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,EXTERNAL CORROSION,2021,71.0
299,20210034,ENTERPRISE CRUDE PIPELINE LLC,2021-01-15,35.94856,-96.75931,CRUDE OIL,10.0,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,2009.0,LEAK,1120750.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,INCORRECT OPERATION,OTHER INCORRECT OPERATION,2021,12.0
300,20210028,ENTERPRISE PRODUCTS OPERATING LLC,2021-01-13,30.126916,-95.198096,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,2100.1,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,63,"WELD, INCLUDING HEAT-AFFECTED ZONE",8.625,1993.0,LEAK,55004.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",2021,28.0
301,20210027,PHILLIPS 66 PIPELINE LLC,2021-01-08,30.152075,-93.340114,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.97,NO,NO,YES,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,1983.0,MECHANICAL PUNCTURE,120555.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,INCORRECT OPERATION,DAMAGE BY OPERATOR OR OPERATOR'S CONTRACTOR NOT RELATED TO EXCAVATION AND NOT DUE TO MOTORIZED VEHICLE/EQUIPMENT DAMAGE,2021,38.0
302,20210025,WEST COAST TERMINAL PIPELINE  (WCTP),2021-01-08,33.8,-118.23,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,18.7,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,1992.0,LEAK,74592.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,OTHER INCIDENT CAUSE,UNKNOWN,2021,29.0
303,20210024,"EPIC CONSOLIDATED OPERATIONS, LLC",2021-01-06,27.8271056,-97.61775555,CRUDE OIL,1.11,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,2019.0,LEAK,18050.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,2.0
304,20210022,SUNOCO PIPELINE L.P.,2021-01-06,32.07215,-96.470688,CRUDE OIL,0.5,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,100,PIPE,26.0,1953.0,LEAK,21010.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2021,68.0
305,20210019,ENTERPRISE PRODUCTS OPERATING LLC,2021-01-04,29.910874,-94.010014,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2009.0,LEAK,5012.0,PRESSURE DID NOT EXCEED MOP,,,NO,INCORRECT OPERATION,"VALVE LEFT OR PLACED IN WRONG POSITION, BUT NOT RESULTING IN A TANK, VESSEL, OR SUMP/SEPARATOR OVERFLOW OR FACILITY OVERPRESSURE",2021,12.0
306,20210017,EXXONMOBIL PIPELINE CO,2021-01-01,31.7752459,-103.1068796,CRUDE OIL,0.2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,2020.0,LEAK,6820.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,1.0
307,20210020,ENTERPRISE CRUDE PIPELINE LLC,2021-01-01,32.02,-102.0162,CRUDE OIL,0.6,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,SUMP/SEPARATOR,,2019.0,OVERFILL OR OVERFLOW,2029.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2021,2.0
308,20210021,"MAGELLAN PIPELINE COMPANY, LP",2020-12-30,35.308966,-94.393035,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,85.0,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,TUBING,,2016.0,LEAK,1347000.0,PRESSURE DID NOT EXCEED MOP,NO,NO,YES,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2020,4.0
309,20210016,MID - VALLEY PIPELINE CO,2020-12-28,41.80656,-83.60128,CRUDE OIL,3.0,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,"WELD, INCLUDING HEAT-AFFECTED ZONE",,1969.0,LEAK,48782.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2020,51.0
310,20210004,"BUCKEYE PARTNERS, LP",2020-12-28,43.63677,-70.283018,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,2.3,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,,LEAK,18600.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,
311,20210013,"ONEOK NGL PIPELINE, LLC",2020-12-26,35.53305,-97.70667,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,8.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,65,PIPE,8.625,1965.0,LEAK,94000.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",2020,55.0
312,20210018,"MARKWEST OKLAHOMA GAS COMPANY, L.L.C.",2020-12-26,35.91045,-98.11613,CRUDE OIL,250.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,96,PIPE,6.625,2015.0,LEAK,1194614.0,PRESSURE DID NOT EXCEED MOP,,,YES,CORROSION FAILURE,INTERNAL CORROSION,2020,5.0
313,20210014,DIXIE PIPELINE COMPANY LLC,2020-12-26,35.2183,-79.3918,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1.2,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,1991.0,LEAK,600.0,PRESSURE DID NOT EXCEED MOP,YES,NO,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2020,29.0
314,20210011,SUNOCO PIPELINE L.P.,2020-12-25,32.068928,-96.468046,CRUDE OIL,60.0,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PIPE,30.0,2014.0,LEAK,52000.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2020,6.0
315,20210015,EXPLORER PIPELINE CO,2020-12-25,35.979163,-96.008245,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,1971.0,LEAK,1015.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,49.0
316,20210006,"SHELL PIPELINE CO., L.P.",2020-12-22,30.069722,-93.52,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.4,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,48,PIPE,12.0,1979.0,LEAK,125000.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",2020,41.0
317,20210023,PHILLIPS 66 PIPELINE LLC,2020-12-22,36.787914,-97.606409,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,969.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,40,PIPE,4.5,1963.0,LEAK,35029.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,EXTERNAL CORROSION,2020,57.0
318,20210012,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",2020-12-21,29.792994,-95.280501,CRUDE OIL,0.6,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2014.0,LEAK,3100.0,PRESSURE DID NOT EXCEED MOP,,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,6.0
319,20210008,ENERGY TRANSFER COMPANY,2020-12-15,29.84732,-94.9261,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,1212.0,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,RELIEF LINE,,2016.0,LEAK,46100.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,2020,4.0
320,20210010,"MAGELLAN PIPELINE COMPANY, LP",2020-12-14,40.201565,-104.6086,CRUDE OIL,0.12,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,2020.0,LEAK,506.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,INCORRECT OPERATION,WRONG EQUIPMENT SPECIFIED OR INSTALLED,2020,0.0
321,20210009,WEST TEXAS GULF PIPELINE CO,2020-12-14,31.614716,-96.162607,CRUDE OIL,1.5,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,54,PIPE,26.0,1952.0,LEAK,30283.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,MATERIAL FAILURE OF PIPE OR WELD,ORIGINAL MANUFACTURING-RELATED (NOT GIRTH WELD OR OTHER WELDS FORMED IN THE FIELD),2020,68.0
322,20210007,MARATHON PIPE LINE LLC,2020-12-09,39.2914,-87.7363,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,300.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,6,PIPE,10.0,1939.0,RUPTURE,1803403.0,PRESSURE DID NOT EXCEED MOP,YES,YES,YES,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,2020,81.0
323,20210003,ENTERPRISE PRODUCTS OPERATING LLC,2020-12-08,39.982125,-88.336325,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,0.1,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,1987.0,LEAK,6069.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,33.0
324,20210005,"MAGELLAN CRUDE OIL PIPELINE COMPANY, L.P.",2020-12-07,29.793122,-95.281281,CRUDE OIL,3.0,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PIPE,36.0,2016.0,LEAK,18000.0,PRESSURE DID NOT EXCEED MOP,,,NO,CORROSION FAILURE,INTERNAL CORROSION,2020,4.0
325,20210002,"MAGELLAN TERMINALS HOLDINGS, LP",2020-12-05,27.805754,-97.438549,CRUDE OIL,17.6,NO,YES,YES,YES,YES,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,OTHER,,,OTHER,430865.0,PRESSURE DID NOT EXCEED MOP,,,NO,OTHER INCIDENT CAUSE,UNKNOWN,2020,
326,20200332,"SHELL PIPELINE CO., L.P.",2020-12-05,30.053792,-93.772891,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,4.4,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,2013.0,LEAK,20050.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,7.0
327,20200342,"SFPP, LP",2020-12-05,38.003805,-122.058362,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.3,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,1964.0,OVERFILL OR OVERFLOW,3128.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2020,56.0
328,20200340,"MAGELLAN PIPELINE COMPANY, LP",2020-12-04,39.79833622,-104.9488524,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,487.4,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,46,PIPE,6.625,1966.0,RUPTURE,2179036.0,PRESSURE DID NOT EXCEED MOP,YES,NO,NO,CORROSION FAILURE,EXTERNAL CORROSION,2020,54.0
329,20200327,"KINDER MORGAN LIQUID TERMINALS, LLC",2020-12-03,40.5909462,-74.2174704,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.83,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,,LEAK,21570.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2020,
330,20200334,"WINK TO WEBSTER PIPELINE, LLC",2020-12-03,29.6121071,-95.186078,CRUDE OIL,1.2,NO,NO,YES,NO,NO,ONSHORE,ABOVEGROUND,,OTHER,,2020.0,LEAK,81050.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,0.0
331,20210001,COLONIAL PIPELINE CO,2020-12-02,33.28180097,-86.80294942,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.2,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,24,VALVE,,1971.0,LEAK,19014.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2020,49.0
332,20200341,BELLE FOURCHE PIPELINE CO,2020-12-01,43.954352,-104.392728,CRUDE OIL,12.0,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,PUMP,,2019.0,LEAK,11790.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,2020,1.0
333,20200328,"KINDER MORGAN LIQUID TERMINALS, LLC",2020-11-30,29.72743,-95.20021,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,84,FLANGE,,,LEAK,12084.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,
334,20200331,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,2020-11-29,42.8288595,-96.4060063,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,13.76,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,12,PIPE,6.0,1941.0,MECHANICAL PUNCTURE,45000.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EXCAVATION DAMAGE,EXCAVATION DAMAGE BY THIRD PARTY,2020,79.0
335,20200330,SUNOCO PIPELINE L.P.,2020-11-25,33.7739,-100.05038,CRUDE OIL,10.0,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,24,PIPE,10.75,1927.0,LEAK,19900.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,CORROSION FAILURE,EXTERNAL CORROSION,2020,93.0
336,20200337,CENTURION PIPELINE L.P.,2020-11-23,32.00734,-102.04163,CRUDE OIL,1.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,36,PIPE,8.0,,LEAK,39418.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,CORROSION FAILURE,INTERNAL CORROSION,2020,
337,20200336,KINDER MORGAN CRUDE AND CONDENSATE LLC,2020-11-23,29.065103,-96.360234,CRUDE OIL,0.3,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,AUXILIARY PIPING (E.G. DRAIN LINES),,2020.0,LEAK,5612.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,THREADED CONNECTION/COUPLING FAILURE,2020,0.0
338,20200338,"BUCKEYE PARTNERS, LP",2020-11-22,38.8412019,-90.0764591,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,47.0,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,48,"WELD, INCLUDING HEAT-AFFECTED ZONE",,2014.0,LEAK,1051910.0,PRESSURE DID NOT EXCEED MOP,NO,NO,YES,MATERIAL FAILURE OF PIPE OR WELD,"CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED",2020,6.0
339,20200333,"SFPP, LP",2020-11-20,37.88652,-122.050951,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1000.0,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,60,PIPE,10.75,1988.0,LEAK,5659164.0,PRESSURE DID NOT EXCEED MOP,YES,,YES,MATERIAL FAILURE OF PIPE OR WELD,ENVIRONMENTAL CRACKING-RELATED,2020,32.0
340,20200335,TORRANCE VALLEY PIPELINE COMPANY LLC,2020-11-19,34.905473,-118.923267,CRUDE OIL,17.5,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,56,PIPE,12.75,1985.0,LEAK,172700.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,NATURAL FORCE DAMAGE,"EARTH MOVEMENT, NOT DUE TO HEAVY RAINS/FLOODS",2020,35.0
341,20200329,ENTERPRISE PRODUCTS OPERATING LLC,2020-11-17,39.63882,-97.04227,HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS,50.6,NO,NO,YES,NO,NO,ONSHORE,UNDERGROUND,48,STOPPLE FITTING,,,LEAK,185120.0,PRESSURE DID NOT EXCEED MOP,NO,NO,NO,EQUIPMENT FAILURE,NON-THREADED CONNECTION FAILURE,2020,
342,20200325,"KINDER MORGAN LIQUID TERMINALS, LLC",2020-11-10,29.73321,-95.20236,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,NO,NO,NO,NO,NO,ONSHORE,UNDERGROUND,18,AUXILIARY PIPING (E.G. DRAIN LINES),,2007.0,LEAK,43501.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,CORROSION FAILURE,INTERNAL CORROSION,2020,13.0
343,20200317,CAPROCK PERMIAN CRUDE LLC,2020-11-08,31.66099,-103.72207,CRUDE OIL,5.1,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,AUXILIARY PIPING (E.G. DRAIN LINES),,2019.0,LEAK,18309.0,PRESSURE DID NOT EXCEED MOP,,,NO,INCORRECT OPERATION,"TANK, VESSEL, OR SUMP/SEPARATOR ALLOWED OR CAUSED TO OVERFILL OR OVERFLOW",2020,1.0
344,20200324,"KINDER MORGAN LIQUID TERMINALS, LLC",2020-11-07,29.73128,-95.20017,REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,1.0,NO,NO,NO,NO,NO,ONSHORE,ABOVEGROUND,,VALVE,,,LEAK,84.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,EQUIPMENT FAILURE,OTHER EQUIPMENT FAILURE,2020,
345,20200339,ENBRIDGE STORAGE (CUSHING) L.L.C.,2020-11-04,35.936469,-96.751432,CRUDE OIL,5.0,NO,NO,NO,NO,NO,ONSHORE,"TANK, INCLUDING ATTACHED APPURTENANCES",,TANK/VESSEL,,1976.0,OTHER,42122.0,PRESSURE DID NOT EXCEED MOP,NO,,NO,INCORRECT OPERATION,OTHER INCORRECT OPERATION,2020,44.0
